t_s,bateria_pct,voltaje_v,roll,pitch,yaw,acc_x,acc_y,acc_z,vel_rpm,vel_real,estado
97.2,50,3.75,-2.0,-1.0,-63.0,-0.40,0.10,-9.60,12.0,0,8
97.5,50,3.75,-1.0,0.0,-56.0,-0.20,0.10,-9.60,16.0,0,12
97.8,50,3.75,0.0,0.0,-51.0,-0.00,0.00,-9.60,12.0,0,8
98.2,50,3.75,0.0,1.0,-41.0,0.20,-0.10,-10.00,12.0,0,8
98.6,50,3.75,-1.0,1.0,-32.0,-0.10,-0.10,-9.50,16.0,0,12
98.8,50,3.75,0.0,-1.0,-29.0,-0.20,0.20,-9.50,12.0,0,8
99.2,50,3.75,-1.0,0.0,-20.0,-0.30,0.10,-9.60,12.0,0,8
99.5,50,3.75,0.0,0.0,-12.0,0.10,-0.10,-9.70,16.0,0,12
99.7,50,3.75,0.0,1.0,-9.0,0.10,-0.30,-10.10,12.0,0,8
100.0,50,3.75,-1.0,1.0,-2.0,-0.20,-0.00,-9.70,12.0,0,8
100.3,50,3.75,-1.0,-1.0,6.0,-0.20,0.30,-9.50,12.0,0,8
100.7,50,3.75,-1.0,2.0,14.0,-0.20,-0.30,-9.70,16.0,0,12
101.0,50,3.75,-1.0,0.0,17.0,-0.20,0.10,-9.80,12.0,0,8
101.4,50,3.75,0.0,0.0,27.0,-0.00,-0.10,-9.60,12.0,0,8
101.7,50,3.75,-1.0,0.0,31.0,-0.20,0.00,-9.90,12.0,0,8
101.9,50,3.75,-1.0,0.0,34.0,-0.20,-0.00,-9.70,16.0,0,12
102.2,50,3.75,-1.0,0.0,35.0,-0.20,0.00,-9.60,12.0,0,8
102.6,50,3.75,-1.0,0.0,39.0,-0.10,-0.10,-9.80,12.0,0,8
102.8,50,3.75,-1.0,1.0,43.0,-0.20,-0.20,-9.70,16.0,0,4
103.1,50,3.75,-2.0,1.0,44.0,-0.30,-0.10,-10.10,16.0,0,4
103.4,50,3.75,-1.0,1.0,46.0,-0.20,-0.10,-9.80,16.0,0,4
103.7,50,3.75,-2.0,2.0,46.0,-0.40,-0.40,-10.10,16.0,0,4
104.1,50,3.75,-1.0,0.0,48.0,-0.20,0.00,-9.80,16.0,0,4
104.5,50,3.75,-1.0,1.0,46.0,-0.10,-0.20,-9.70,12.0,0,8
104.8,50,3.75,0.0,-1.0,46.0,-0.10,-0.00,-9.70,12.0,0,8
105.0,50,3.75,-1.0,2.0,48.0,-0.20,-0.40,-9.80,12.0,0,8
105.3,50,3.75,-1.0,0.0,55.0,-0.30,0.10,-9.80,16.0,0,4
105.6,50,3.75,-1.0,0.0,59.0,-0.30,0.10,-9.80,16.0,0,4
105.9,50,3.75,0.0,1.0,63.0,0.20,-0.20,-10.20,16.0,0,4
106.2,50,3.75,-1.0,2.0,66.0,-0.20,-0.40,-10.20,20.0,0,6
106.5,50,3.75,-1.0,0.0,67.0,-0.30,-0.10,-9.60,16.0,0,2
106.8,50,3.75,-2.0,1.0,64.0,-0.30,-0.10,-9.90,20.0,0,6
107.1,50,3.75,-2.0,1.0,63.0,-0.20,-0.10,-9.90,20.0,0,6
107.5,50,3.75,-2.0,1.0,62.0,-0.30,-0.20,-9.70,20.0,0,6
107.8,50,3.75,-2.0,1.0,63.0,-0.30,-0.10,-9.60,20.0,0,6
108.1,50,3.75,-1.0,1.0,63.0,-0.10,-0.10,-9.80,20.0,0,6
108.4,50,3.75,-2.0,2.0,63.0,-0.40,-0.40,-9.80,20.0,0,6
108.7,50,3.75,-2.0,2.0,63.0,-0.40,-0.30,-10.10,20.0,0,6
109.0,50,3.75,0.0,1.0,63.0,-0.00,-0.10,-9.80,16.0,0,4
109.3,50,3.75,0.0,-1.0,66.0,0.00,0.10,-9.70,16.0,0,4
109.6,50,3.75,0.0,0.0,73.0,-0.10,0.10,-9.70,10.0,0,0
109.9,50,3.75,0.0,-1.0,86.0,0.00,0.10,-9.70,12.0,0,1
110.2,50,3.75,-2.0,1.0,83.0,-0.40,-0.20,-9.80,12.0,0,1
110.5,50,3.75,-1.0,0.0,76.0,-0.10,0.10,-9.80,16.0,0,2
110.9,50,3.75,-2.0,1.0,70.0,-0.30,-0.20,-9.50,20.0,0,6
111.2,50,3.75,-1.0,1.0,70.0,-0.40,-0.20,-9.80,20.0,0,6
111.5,50,3.75,-1.0,0.0,70.0,-0.30,-0.10,-9.70,16.0,0,4
111.8,50,3.75,-2.0,-1.0,73.0,-0.30,0.20,-9.50,16.0,0,4
112.0,50,3.75,-1.0,1.0,75.0,-0.10,-0.30,-10.00,16.0,0,12
112.3,50,3.75,0.0,1.0,77.0,0.10,-0.20,-9.60,12.0,0,8
112.6,50,3.75,-2.0,0.0,85.0,-0.30,-0.10,-9.60,16.0,0,12
112.9,50,3.75,-2.0,1.0,89.0,-0.30,-0.20,-9.80,12.0,0,8
113.2,50,3.75,0.0,1.0,94.0,-0.20,-0.10,-9.90,12.0,0,8
113.5,50,3.75,-1.0,-1.0,102.0,-0.20,0.20,-9.50,16.0,0,12
114.0,50,3.75,-2.0,0.0,108.0,-0.30,0.10,-9.60,12.0,0,8
114.2,50,3.75,-2.0,1.0,114.0,-0.30,-0.30,-10.00,12.0,0,8
114.6,50,3.75,-1.0,0.0,123.0,0.00,-0.10,-9.90,12.0,0,8
114.8,50,3.75,-1.0,-1.0,129.0,-0.20,0.10,-9.80,12.0,0,8
115.1,50,3.75,-1.0,-1.0,135.0,-0.20,0.20,-9.30,16.0,0,12
115.4,50,3.75,-1.0,1.0,141.0,-0.10,-0.20,-9.90,12.0,0,8
115.7,50,3.75,0.0,1.0,148.0,-0.10,-0.10,-9.70,16.0,0,4
116.0,50,3.75,0.0,1.0,153.0,-0.00,-0.20,-9.60,16.0,0,4
